Years,Key highlight 1,Key highlight 2,Key highlight 3,Key highlight 4,Key highlight 5,People,Person Photo,Places
1913,Nationalist,,,,,Rabindranath Tagore,Rabindranath_Tagore.jpg,
1913,Textile,War,,,,,,"Britain, India"
1913,GDP,,,,,,,
,,,,,,,,
1913,Education,,,,,,,
1913,GDP,,,,,,,
1914,War,Army Deployment,,,,,,France and Mesopotamia
1914,Tea,,,,,,,Calcutta
1914,People Died,Army Deployment,War,,,,,"Europe, German"
1914,Cricket,,,,,,,Bengal
,,,,,,,,
1915,Textile,Jute,,,,,,
1915,Race,,,,,,,London
1915,Nationalist,,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",South Africa
,,,,,,,,
1916,Pact,Political Parties,Congress,Government,Muslim League,,,
1916,Pact,Political Parties,Congress,Government,Muslim League,"Jawaharlal Nehru, Muhammad Ali Jinnah, Sarojini Naidu","JawaharlalNehru.jpg, Jinnah.jpg, sarojini-naidu.jpg",
,,,,,,,,
1916,Elections,Government,,,,Vithalbhai Patel,Shri_Vithalbhai_Patel.jpg,
1917,Labour Deployment,,,,,,,Fiji and Trinidad
1917,Education,Government,,,,Lord Montagu,MrEdwin Montagu.jpg,
1917,Government,Government,Commonwealth,Reform,,,,
1918,Epidemic,People Died,,,,,,
1918,War,,,,,,,
1918,Reform,Government,,,,Dr Rutherford,Vickerman_Rutherford.jpg,"England, India"
,,,,,,,,
1918,Railway,,,,,,,
,,,,,,,,
1919,Act,Movement,Law,,,,,
1919,,,,,,,,Jallianwala Bagh
1919,Act,Movement,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1919,Protest,People Died,,,,Dr Saifuddin Kitchlew and Dr Satyapal,"Saifuddin Kithlew.jpg, download.jpg","Punjab, Amritsar"
1919,,,,,,Brigadier General Reginald Dyer,General-Reginald-Dyer.jpg,Jallianwala Bagh
1919,People Died,,,,,Brigadier General Reginald Dyer,General-Reginald-Dyer.jpg,Jallianwala Bagh
1919,Law,,,,,"Lord Mountbatten, Jawaharlal Nehru",JawaharlalNehru.jpg,London
1919,Act,,,,,,,Ottoman and Austro-Hungarian
1920,Movement,,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1920,Capital,,,,,French statesman Georges Clemenceau ,FrenchstatesmanGeorgesClemenceau.jpg,New Delhi
1920,Caste,Religion,Muslim,,,"Zamorin, Arab descent, the Kunjali Maraicars",Zamorin_of_Calicut.jpg,"Kerala, Northern India, Calicut"
late 1920s,Income,,,,,Ramsay MacDonald,RamsayMacDonald.jpg,
,,,,,,,,
1921,Opium,Revenue,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",Assam
1921-1941,,,,,,,,
1922,Movement,Revolt,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1922,Revenue,Army Deployment,,,,,,
1922-1945,Nehru Imprisonment,,,,,"Winston Churchill, Jawaharlal Nehru, Mohandas Karamchand Gandhi","JawaharlalNehru.jpg, Mahatma-Gandhi,_studio.jpg, Winston Churchil.jpg",
1923,Corruption,,,,,,,
1924,Newspaper & Press,,,,,,,
,,,,,,,,
1927,,,,,,,,
1928,Protest,,,,,Lala Lajpat Rai,Freedom-Fighter-Lala-Lajpat-Rai.jpg,
,,,,,,,,
1929,Jute,Textile,,,,,,
1929,Economy,,,,,,,
1929-30,Depression,Economy,,,,,,
1930-1933,Cricket,,,,,"K. S. Duleepsinhji, Iftiakar Ali Khan Nawab of Pataudi","Duleepsinhji.jpg, Iftikhar_Ali_Khan_Pataudi.jpg",
1930-1940,Steel,,,,,,,
1930-1940,Tea,War,Depression,,,,,"Britain, India"
1930,Independence,Congress,,,,,,
1930,People Died,,,,,,,Peshawar’s Qissa Khwani Bazaar
,,,,,,,,
1930,Education,,,,,"Ramanujan, C. V. Raman ","Sir_CV_Raman.jpeg, RamanujanSrinivasa.jpg",
1930,,,,,,"Rabindranath Tagore, Mohandas Karamchand Gandhi","Mahatma-Gandhi,_studio.jpg, Rabindranath_Tagore.jpg",New York
1930,Opium,,,,,William Durant,Durant.jpg,
1880-1930,,,,,,,,
1931,Rule,,,,,,,
,,,,,,,,
1932,Pact,Elections,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1930,Cricket,,,,,"K. S. Duleepsinhji, Iftiakar Ali Khan Nawab of Pataudi","Duleepsinhji.jpg, Iftikhar_Ali_Khan_Pataudi.jpg",
1934,Services,,,,,,,
1934-1935,RBI,,,,,,,
1935,Act,,,,,,,
1935,Movement,Act,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1936,Textile,,,,,,,
,,,,,,,,
1937,Political Parties,Congress,Government,Muslim League,,,,
1937,Political Parties,Congress,Government,Muslim League,,,,
1937,Political Parties,Congress,Government,Muslim League,,,,
1937,Education,,,,,Mohandas Karamchand Gandhi,"Mahatma-Gandhi,_studio.jpg",
1937-1941,,,,,,,,
1938,Cotton,,,,,,,
1938,Newspaper & Press,,,,,Jawaharlal Nehru,JawaharlalNehru.jpg,
1939,War,,,,,,,
1939,,,,,,,,"Germany, India, Britain"
1939,Political Parties,Congress,Government,Muslim League,,"Lord Linlithgow, Muhammad Ali Jinnah","Jinnah.jpg, LordLinlithgow.jpg",
1939,Political Parties,Congress,Government,Muslim League,," Muhammad Ali Jinnah, Jawaharlal Nehru",JawaharlalNehru.jpg,
1939,Political Parties,Congress,Government,Muslim League,," Muhammad Ali Jinnah, Jawaharlal Nehru, Stafford Cripps","JawaharlalNehru.jpg, Jinnah.jpg, Stafford_Cripps_1947.jpg",
1939,Movement,Political Parties,Congress,Government,Muslim League,,,
1939,Political Parties,Congress,Government,,,,,
1939,War,,,,,,,"Germany, Britain, Poland"
1939,Political Parties,Congress,Government,,,,,
1939,Labour Deployment,,,,,,,"India, Africa"
1940,Partition,Political Parties,Congress,Muslim League,,Muhammad Ali Jinnah,Jinnah.jpg,"Lahore, Pakistan"
1940,Movement,,,,,"Winston Churchill, Jawaharlal Nehru","JawaharlalNehru.jpg, Winston Churchil.jpg",
1940,People Arrested,,,,,Jawaharlal Nehru,JawaharlalNehru.jpg,
1940,Partition,Political Parties,Muslim League,,,,,"Lahore, Pakistan"
1940,Government,Political Parties,Congress,,,,,
1940,Divide & Rule,Partition,Independence,,,,,
1940,GDP,,,,,,,"Britain, India"
1941,Political Parties,,,,,Muhammad Ali Jinnah,Jinnah.jpg,Karachi and Delhi
1941,Congress,War,People Arrested,,,Netaji Subhas Chandra Bose,subhash-chandra.png,"Japanese, American"
December 1941,People Arrested,,,,,"Winston Churchill, Jawaharlal Nehru",JawaharlalNehru.jpg,"New Delhi, Singapore, Burma, Japanese, London"
1937-1941,,,,,,,,
1921-1941,,,,,,,,
1942,War,Partition,,,,"Clement Attlee, socialist Sir Stafford Cripps","ClementAttlee.jpg, Stafford_Cripps_1947.jpg",
1942,Movement,Congress,,,,Subhas Chandra Bose,subhash-chandra.png,
1942,Movement,,,,,Mohandas Karamchand Gandhi ,"Mahatma-Gandhi,_studio.jpg",
1942,Movement,,,,,,,
1942,Movement,Independence,Riots,,,,,
1942,Independence,Movement,,,,"Leopold Amery, Mohandas Karamchand Gandhi , Sardar Vallabbhai Patel","Mahatma-Gandhi,_studio.jpg, LeopoldAmery.png,Sardar_Patel.jpg",Bombay
1942-1945,Elections,Government,Constitution Assembly,Nehru Imprisonment,,"Nehru, jinnah, Sir Sikandar Hayat Khan and Allah Bux, Lord Linlithgow","JawaharlalNehru.jpg, Jinnah.jpg, LordLinlithgow.jpg, Sir_Sikandar_Hayat_Khan.png, Allah_Bux.jpg","Punjab, Sindh"
,,,,,,,,
1943,Indian Population,Famine,People Died,,,Leopold Amery,LeopoldAmery.png,Bengal
1943,Famine,People Died,,,,,,Bengal
1943,Textile,People Died,,,,Winston Churchill,Winston Churchil.jpg,
1943-1944,Famine,,,,,,,Bengal
1945,Textile,,,,,,,
1945-1946,Elections,Government,Constitution Assembly,Independence,War,,,"German, America, Britain, India"
1945,Nehru Imprisonment,,,,,"Winston Churchill, Jawaharlal Nehru, Mohandas Karamchand Gandhi","JawaharlalNehru.jpg, Mahatma-Gandhi,_studio.jpg, Winston Churchil.jpg",
